WARNING 2021-01-29 08:39:09,207 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:39:09,216 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:39:16,610 views data for user id 1 is updated in greeting databse  51
INFO 2021-01-29 08:39:16,611 basehttp "POST /update/1 HTTP/1.1" 302 0 157
INFO 2021-01-29 08:39:16,615 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:39:16,628 basehttp "GET /show HTTP/1.1" 200 2847 157
WARNING 2021-01-29 08:39:16,656 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:39:16,662 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:39:45,921 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:39:45,952 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:39:45,952 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:39:45,962 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:39:46,209 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:39:46,234 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:39:46,235 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:39:46,251 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:39:52,092 views New user is added to greeting database. 27
INFO 2021-01-29 08:39:52,092 basehttp "POST / HTTP/1.1" 302 0 157
INFO 2021-01-29 08:39:52,096 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:39:52,103 basehttp "GET /show HTTP/1.1" 200 2578 157
WARNING 2021-01-29 08:39:52,138 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:39:52,139 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:41:12,239 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:41:12,245 basehttp "GET /show HTTP/1.1" 200 2578 157
WARNING 2021-01-29 08:41:12,269 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:41:12,270 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:41:25,556 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:41:25,617 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:41:25,617 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:41:25,700 log Not Found: /favicon.ico 230
